,Generation,v_trial,score_trial,score_target,gen_avg,gen_best,gen_sol
117,24,[0.024676239967011234],37.57529370138662,37.57529370138662,,,
118,24,[0.02467623783325],37.57529370138662,37.57529370138662,,,
119,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
120,25,[0.02467623569948877],37.57529370138662,37.57529370138662,,,
121,25,[0.02467623789874002],37.57529370138662,37.57529370138662,,,
122,25,[0.024676093350261233],37.57529370138662,37.57529370138662,,,
123,25,[0.0246762356014975],37.57529370138662,37.57529370138662,,,
124,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
125,26,[0.02467609338325],37.57529370138662,37.57529370138662,,,
126,26,[0.024676240000000002],37.57529370138662,37.57529370138662,,,
127,26,[0.024676093350261233],37.57529370138662,37.57529370138662,,,
128,26,[0.02467623346724875],37.57529370138662,37.57529370138662,,,
129,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
130,27,[0.02467623569948877],37.57529370138662,37.57529370138662,,,
131,27,[0.024676239967011234],37.57529370138662,37.57529370138662,,,
132,27,[0.024676237800748752],37.57529370138662,37.57529370138662,,,
133,27,[0.02467623346724875],37.57529370138662,37.57529370138662,,,
134,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
135,28,[0.02467609338325],37.57529370138662,37.57529370138662,,,
136,28,[0.024676240000000002],37.57529370138662,37.57529370138662,,,
137,28,[0.02467609331775998],37.57529370138662,37.57529370138662,,,
138,28,[0.02467609341623877],37.57529370138662,37.57529370138662,,,
139,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
140,29,[0.024676093350261233],37.57529370138662,37.57529370138662,,,
141,29,[0.024676240000000002],37.57529370138662,37.57529370138662,,,
142,29,[0.02467623783325],37.57529370138662,37.57529370138662,,,
143,29,[0.0246762356014975],37.57529370138662,37.57529370138662,,,
144,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
145,30,[0.0246762356014975],37.57529370138662,37.57529370138662,,,
146,30,[0.02467623783325],37.57529370138662,37.57529370138662,,,
147,30,[0.02467609341623877],37.57529370138662,37.57529370138662,,,
148,30,[0.024676093350261233],37.57529370138662,37.57529370138662,,,
149,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
150,31,[0.02467623569948877],37.57529370138662,37.57529370138662,,,
151,31,[0.02467623563399875],37.57529370138662,37.57529370138662,,,
152,31,[0.02467623996701123],37.57529370138662,37.57529370138662,,,
153,31,[0.02467623783325],37.57529370138662,37.57529370138662,,,
154,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
155,32,[0.02467609338325],37.57529370138662,37.57529370138662,,,
156,32,[0.024676240000000002],37.57529370138662,37.57529370138662,,,
157,32,[0.024676093350261233],37.57529370138662,37.57529370138662,,,
158,32,[0.02467623789874002],37.57529370138662,37.57529370138662,,,
159,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
160,33,[0.02467609338325],37.57529370138662,37.57529370138662,,,
161,33,[0.02467623783325],37.57529370138662,37.57529370138662,,,
162,33,[0.02467623563399875],37.57529370138662,37.57529370138662,,,
163,33,[0.02467623783325],37.57529370138662,37.57529370138662,,,
164,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
165,34,[0.024676093415751253],37.57529370138662,37.57529370138662,,,
166,34,[0.024676240000000002],37.57529370138662,37.57529370138662,,,
167,34,[0.02467623563399875],37.57529370138662,37.57529370138662,,,
168,34,[0.02467623783325],37.57529370138662,37.57529370138662,,,
169,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
170,35,[0.024676093415751253],37.57529370138662,37.57529370138662,,,
171,35,[0.024676240000000002],37.57529370138662,37.57529370138662,,,
172,35,[0.024676093415751253],37.57529370138662,37.57529370138662,,,
173,35,[0.02467623783325],37.57529370138662,37.57529370138662,,,
174,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
175,36,[0.02467623789874002],37.57529370138662,37.57529370138662,,,
176,36,[0.024676240000000002],37.57529370138662,37.57529370138662,,,
177,36,[0.0246762334347475],37.57529370138662,37.57529370138662,,,
178,36,[0.02467623783325],37.57529370138662,37.57529370138662,,,
179,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
180,37,[0.02467623996701123],37.57529370138662,37.57529370138662,,,
181,37,[0.02467623346724875],37.57529370138662,37.57529370138662,,,
182,37,[0.02467623996701123],37.57529370138662,37.57529370138662,,,
183,37,[0.02467609335074875],37.57529370138662,37.57529370138662,,,
184,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
185,38,[0.02467623776775998],37.57529370138662,37.57529370138662,,,
186,38,[0.02467623346724875],37.57529370138662,37.57529370138662,,,
187,38,[0.024676242133761232],37.57529370138662,37.57529370138662,,,
188,38,[0.02467609341623877],37.57529370138662,37.57529370138662,,,
189,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
190,39,[0.02467623346724875],37.57529370138662,37.57529370138662,,,
191,39,[0.02467623776775998],37.57529370138662,37.57529370138662,,,
192,39,[0.02467623563399875],37.57529370138662,37.57529370138662,,,
193,39,[0.02467623783325],37.57529370138662,37.57529370138662,,,
194,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
195,40,[0.02467623783325],37.57529370138662,37.57529370138662,,,
196,40,[0.0246762334347475],37.57529370138662,37.57529370138662,,,
197,40,[0.02467623563399875],37.57529370138662,37.57529370138662,,,
198,40,[0.02467623783325],37.57529370138662,37.57529370138662,,,
199,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
200,41,[0.02467609338325],37.57529370138662,37.57529370138662,,,
201,41,[0.02467623776775998],37.57529370138662,37.57529370138662,,,
202,41,[0.02467623563399875],37.57529370138662,37.57529370138662,,,
203,41,[0.02467623563399875],37.57529370138662,37.57529370138662,,,
204,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
205,42,[0.024676242166750004],37.57529370138662,37.57529370138662,,,
206,42,[0.02467609331775998],37.57529370138662,37.57529370138662,,,
207,42,[0.02467623563399875],37.57529370138662,37.57529370138662,,,
208,42,[0.02467623783325],37.57529370138662,37.57529370138662,,,
209,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
210,43,[0.024676239967011234],37.57529370138662,37.57529370138662,,,
211,43,[0.02467609331775998],37.57529370138662,37.57529370138662,,,
212,43,[0.02467623563399875],37.57529370138662,37.57529370138662,,,
213,43,[0.02467623783325],37.57529370138662,37.57529370138662,,,
214,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
215,44,[0.02467624003298877],37.57529370138662,37.57529370138662,,,
216,44,[0.024676240000000002],37.57529370138662,37.57529370138662,,,
217,44,[0.02467623569948877],37.57529370138662,37.57529370138662,,,
218,44,[0.024676093415751253],37.57529370138662,37.57529370138662,,,
219,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
220,45,[0.024676093350261233],37.57529370138662,37.57529370138662,,,
221,45,[0.024676240000000002],37.57529370138662,37.57529370138662,,,
222,45,[0.02467623783325],37.57529370138662,37.57529370138662,,,
223,45,[0.024676239967011234],37.57529370138662,37.57529370138662,,,
224,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
225,46,[0.02467609338325],37.57529370138662,37.57529370138662,,,
226,46,[0.024676240000000002],37.57529370138662,37.57529370138662,,,
227,46,[0.02467609341623877],37.57529370138662,37.57529370138662,,,
228,46,[0.024676242133761232],37.57529370138662,37.57529370138662,,,
229,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
230,47,[0.02467609344874002],37.57529370138662,37.57529370138662,,,
231,47,[0.02467624003250125],37.57529370138662,37.57529370138662,,,
232,47,[0.02467623569948877],37.57529370138662,37.57529370138662,,,
233,47,[0.024676242166750004],37.57529370138662,37.57529370138662,,,
234,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
